MM,AM,BM,CM,MA,AA,BA,CA,MB,AB,BB,CB,MC,AC,BC,CC,DifA,DifB,DifC,DegA,DegB,DegC
0,0,0,0,0,0,-7.689434703,5.463956745,9.46905692,0,0,0,-7.935368774,0,5.021337368,0,0.004721163389,0.09701280101,0.04537672707,0.0888742382,0.04662121347,0.08766678592
0,0,0,0,8.72095427,0,0,2.270761178,0,4.539599831,0,-7.663227348,8.747750751,0,0,0,0.0717020441,0.02151685996,0.08537309622,0.09793941534,0.09859435605,0.05471157873
0,0,0,0,8.72095427,0,0,2.270761178,0,4.539599831,0,-6.273474772,8.747750751,0,0,0,0.09631573799,0.01181713612,0.01268173349,0.09793941534,0.1135131377,0.04151927862
0,0,0,0,8.082979979,0,0,3.494707792,0,4.566743017,0,-7.663227348,8.507703516,0,0,0,0.001692061284,0.005483911532,0.03714415506,0.1077371124,0.1382569617,0.05471157873
0,0,0,0,7.423112896,0,0,0,0,-9.130108606,0,3.310686015,3.419035656,3.572124769,0,0,0.08294161488,0.001315607625,0.02087256949,0.03618381328,0.1255778929,0.06699646738
0,0,0,0,7.025611585,0,0,0,0,-6.721468342,0,1.946926031,4.416776949,4.317132352,0,0,0.06416679709,0.004747650947,0.03241724273,0.03716255894,0.03243167943,0.05810609058
0,0,0,0,8.902540976,0,0,0,0,-7.478265316,-0.7595874128,8.557394079,-4.85644337,3.506071722,0,0,0.07836169993,0.01761625523,0.05861700569,0.02946793359,0.06928262614,0.1054132889
0,0,0,0,8.913404358,0,0,0,0,-8.413844216,0,7.713153015,0,2.551455103,0,0,0.03706152475,0.001913095509,0.09843702443,0.03255380463,0.1179341152,0.101168472
0,0,0,0,8.902540976,0,0,0,0,-7.819973134,0,8.890546707,-5.777699987,3.435355562,0,0,0.04770681182,0.004949176446,0.07502044213,0.03013164482,0.1203248674,0.1156465574
0,0,0,0,7.373613041,0,0,0,0,-8.510450975,0,3.213075037,5.754415855,3.192331858,0,0,0.02093107316,0.001809679418,0.04432402091,0.03448827698,0.03765643779,0.07411421978
0,0,0,0,8.902540976,0,0,0,-7.498834936,-7.478265316,0,9.145069183,-6.958087661,3.506071722,0,0,0.06062048405,0.00725967735,0.03847704213,0.02946793359,0.06706263524,0.1054132889
0,0,0,0,8.600088371,0,0,0,0,-7.478265316,-0.7595874128,8.292366781,-3.509146808,3.270017209,0,0,0.07215851857,0.0164932503,0.09745028595,0.02946793359,0.1288900832,0.1054132889
0,0,0,0,0,-2.127968123,5.54197373,0,9.164523727,0,0,0,0,7.09224889,-8.6171325,1.212164872,0.09141135992,0.0269392523,0.01040591992,0.09783751243,0.03776176305,0.1210360942
0,0,0,0,0,0.4960991475,4.245807041,-8.743408082,0,0,0,4.893600405,9.598630535,0,0,0,0.0008522369113,0.03450325307,0.08504456076,0.04460310456,0.1023304029,0.07317564068
0,0,0,0,0,0,-7.622536932,3.556012221,9.799928577,0,0,0,0,0,5.088713003,0,0.005008530423,0.07347032857,0.01278071422,0.06777082032,0.06297941837,0.0783670684
0,0,0,0,0,0,-7.768082245,3.926024856,9.800488891,0,0,0,-7.358487301,0,6.738294306,0,0.008443062319,0.01911060813,0.0185739842,0.1026668129,0.06531556364,0.07927990049
0,0,0,0,0,0,3.730054778,0,9.125324748,0,0,0,0,7.264029342,-9.158420785,0,0.003693290241,0.06121511769,0.004563656758,0.09996347504,0.04306524549,0.1089995624
