"","MM","AM","BM","CM","MA","AA","BA","CA","MB","AB","BB","CB","MC","AC","BC","CC"
"208",0,0,0,0,9.812915244,0,0,1.229162288,0,6.154122274,0,-4.845940652,9.401215984,0,0,-0.02646588575
"209",0,0,0,0,3.637562186,-2.289348183,5.774237131,0,9.634619279,0,0,0,0,6.148444091,-8.68242611,2.885463632
"210",0,0,0,0,3.637562186,-2.289348183,5.774237131,0,9.634619279,0,0,0,0,6.148444091,-8.68242611,2.885463632
"211",0,0,0,0,7.267640238,-0.3492518728,5.680194764,0,8.586893178,0,0,0,0,5.359500353,-9.351317567,0
"212",0,0,0,0,0,-0.5104015961,0,7.294316269,0,4.117315262,0,-4.68019511,8.607936219,0,0,0
"213",0,0,0,0,9.830248416,-1.002289597,0,0,0,-9.908209352,0,1.650330469,-8.901644377,8.64097032,0,0.1270951227
"214",0,0,0,0,9.699567766,-0.9001693335,0,0,5.037967567,-9.985864969,0,1.650330469,-8.941012496,9.200417805,0,0
"215",0,0,0,0,8.936060101,-0.7967475926,0,0,0,-9.486670584,0.7225180651,1.969864476,7.258128535,4.614694249,0,0
"216",0,0,0,0,9.81947253,-0.660559786,0,0,0,-9.498306788,2.212123246,1.674566099,9.648087998,3.798594039,0,-0.1388726442
"217",0,0,0,0,9.939627217,-0.7643894329,0,0,0,-8.521590593,0.904039325,1.765968543,0,6.153281845,0,0
"218",0,0,0,0,9.830248416,-1.002289597,0,0,0,-9.908209352,0,1.650330469,-9.798663032,8.64097032,0,0.1270951227
"219",0,0,0,0,9.830248416,-1.074995667,0,0,0,-9.680578948,0,1.650330469,-8.099975479,9.389742322,0,0.1270951227
"220",0,0,0,0,9.725119582,-0.6962654395,0,0,-8.005974822,-8.223816008,2.747290502,1.899372966,5.572950739,3.505514403,0,0
"221",0,0,0,0,9.572077726,-0.660559786,0,0,0,-9.754609699,0,1.958727936,9.648087998,3.637651348,0,0
"222",0,0,0,0,8.93194378,-0.8094358455,0,0,0,-9.983693405,0,2.075190374,0,6.685942668,0,0
"223",0,0,0,0,9.22525411,-0.8094358455,0,0,0,-9.200300493,0,2.09496737,0,6.970543635,0,0
"224",0,0,0,0,8.940449468,-0.8094358455,0,0,0,-9.998100814,0,2.09496737,0,6.91175582,0,0
"225",0,0,0,0,9.882225644,-1.235237422,0,0,-5.222394196,-9.700658286,0,1.631499908,-8.187789524,9.556569579,0,0.1270951227
"226",0,0,0,0,9.770024983,-0.8094358455,0,0,0,-9.985864969,0,1.983880421,-9.349136837,9.194642799,0,0
"227",0,0,0,0,0,0.9767821287,5.516412147,-6.076758527,0,0,0,2.443629112,9.504417265,0,0,0
"228",0,0,0,0,0,0.5344322572,5.771760529,-5.009381497,0,0,-4.883507434,9.506273908,8.782935435,0,0,0
"229",0,0,0,0,0,0,6.049463188,-4.930408854,0,0,-4.515181221,9.307742074,8.705461667,0,0,0
"230",0,0,0,0,0,0,2.625246646,0,9.599273079,0,0.03537344711,0,0,4.983310985,-7.130691452,0
